Date,Close,High,Low,Open,Volume
28/12/2021,1810.199951,1818,1805.5,1812,146
29/12/2021,1805.099976,1805.099976,1791.400024,1803.199951,623
30/12/2021,1812.699951,1816,1796,1801.699951,306
31/12/2021,1827.5,1827.800049,1821.400024,1825.099976,80
03/01/2022,1799.400024,1830.099976,1798.800049,1830.099976,116
04/01/2022,1814,1815.300049,1800,1800.5,38
05/01/2022,1824.599976,1824.599976,1813.099976,1813.099976,8
06/01/2022,1788.699951,1791.300049,1787.099976,1787.099976,30
07/01/2022,1797,1797,1784.400024,1791.800049,17
10/01/2022,1798.400024,1798.699951,1790.400024,1794.900024,534
11/01/2022,1818.599976,1822.5,1803,1803.900024,743
12/01/2022,1827.199951,1827.199951,1816.900024,1819,1547
13/01/2022,1821.199951,1823,1815.400024,1819.800049,40
14/01/2022,1816.5,1822,1816.5,1821.5,816
18/01/2022,1812.300049,1820.099976,1812.300049,1816.800049,900
19/01/2022,1843.099976,1843.099976,1817.400024,1817.400024,4
20/01/2022,1842.5,1843,1838.199951,1840.599976,20
21/01/2022,1831.800049,1842.400024,1828.900024,1838,19
24/01/2022,1841.699951,1842.099976,1837.900024,1837.900024,8
25/01/2022,1852.699951,1852.699951,1842,1843,11
26/01/2022,1829.900024,1829.900024,1829.900024,1829.900024,55
27/01/2022,1793.300049,1793.300049,1793.300049,1793.300049,196036
28/01/2022,1784.900024,1798.400024,1778.800049,1797.5,28521
31/01/2022,1795,1798.5,1785.099976,1788.5,1735
01/02/2022,1800.300049,1806.099976,1797.099976,1797.199951,223
02/02/2022,1809.199951,1810.099976,1795.099976,1797.800049,1690
03/02/2022,1803,1808.099976,1787.900024,1805.800049,466
04/02/2022,1806.599976,1813.699951,1792.5,1806,571
07/02/2022,1820.599976,1821.300049,1809.099976,1812.199951,601
08/02/2022,1826.599976,1827.599976,1815,1818.900024,108
09/02/2022,1835.199951,1835.199951,1825.300049,1825.400024,683
10/02/2022,1836.199951,1842.099976,1820.800049,1833.300049,365
11/02/2022,1840.800049,1864.800049,1822,1822,181
14/02/2022,1868,1870.599976,1854.599976,1861.800049,79
15/02/2022,1854.800049,1879.699951,1847.400024,1872.599976,86
16/02/2022,1870.199951,1870.199951,1856.300049,1858.699951,34
17/02/2022,1900.699951,1900.699951,1876.199951,1876.300049,393
18/02/2022,1898.599976,1899.400024,1890.699951,1899.400024,51
22/02/2022,1906.099976,1912,1890.800049,1908.099976,173
23/02/2022,1909.199951,1910.599976,1895.699951,1896.599976,73
24/02/2022,1925.099976,1972.5,1911.699951,1911.900024,2706
25/02/2022,1886.5,1920,1883.599976,1906.900024,586
28/02/2022,1899.400024,1928.400024,1894.199951,1928.300049,390
01/03/2022,1942.400024,1942.400024,1903.800049,1908.300049,547
02/03/2022,1920.900024,1948.199951,1919.800049,1945.599976,109
03/03/2022,1934.400024,1940.300049,1924.800049,1930.5,122
04/03/2022,1965.099976,1970.900024,1935.599976,1937,47
07/03/2022,1993.900024,2001.099976,1963,1989,2516
08/03/2022,2040.099976,2072,1998,1999.400024,1813
